year,state_code,dist_code,court_no,mean_days,median_days
2010,9,9,12,769.578947368421,595.0
2010,9,11,2,738.1176470588235,584.0
2010,9,13,13,453.83193277310926,116.5
2010,9,14,9,980.26,966.0
2010,9,18,2,692.8623188405797,688.0
2010,9,21,2,708.0519480519481,689.0
2010,9,22,7,1419.6309523809523,911.0
2010,9,23,3,904.74,839.0
2010,9,24,5,575.1219512195122,806.0
2010,9,25,6,1219.7692307692307,1099.0
2010,9,26,7,1280.3333333333333,1055.0
2010,9,27,4,1020.2307692307693,1024.5
2010,9,29,5,685.5,685.5
2010,9,30,6,1666.888888888889,1757.0
2010,9,31,11,1843.090909090909,1889.5
2010,9,32,4,1019.0120481927711,1025.5
2010,9,33,22,847.375,837.5
2010,9,34,2,1441.1290322580646,1269.0
2010,9,35,8,1295.3818181818183,1095.0
2010,9,38,9,680.2872928176796,506.0
2010,9,39,1,1479.923076923077,1241.0
2010,9,3,4,1048.851851851852,835.0
2010,9,4,14,1160.4329896907216,1076.0
2010,9,5,7,1117.531914893617,866.0
2010,9,10,5,681.0,563.5
2010,9,12,8,630.3961661341853,654.0
2010,9,19,9,780.2931034482758,688.5
2010,9,20,8,994.4842105263158,806.0
2010,9,28,10,1265.7808219178082,1244.5
2010,9,36,6,1202.2,1021.0
2010,9,40,6,1226.5714285714287,1117.0
2010,9,31,32,1109.0,1109.0
2010,9,1,26,652.7692307692307,645.5
2010,9,2,20,1753.0,1753.0
2010,9,2,26,1737.15625,1775.5
2010,9,2,30,1431.1379310344828,1135.0
2010,9,2,38,1780.72,1304.0
2010,9,2,44,1706.7391304347825,1662.0
2010,9,2,50,3431.0,3431.0
2010,9,2,61,3336.6,3348.0
2010,9,3,12,1994.7142857142858,1836.5
2010,9,3,16,1929.0,1809.0
2010,9,5,14,1660.4166666666667,1600.5
2010,9,6,28,2728.5,2693.0
2010,9,7,23,1293.5,1293.5
2010,9,7,26,1008.0,1008.0
2010,9,7,32,1916.5555555555557,1932.0
2010,9,7,38,938.4666666666667,643.0
2010,9,8,18,1339.2222222222222,911.0
2010,9,8,39,1825.5,1872.0
2010,9,9,25,1073.0,979.0
2010,9,9,48,2463.0,2463.0
2010,9,11,13,2146.6666666666665,2113.0
2010,9,11,18,1885.125,1746.0
2010,9,11,22,1663.1666666666667,1575.0
2010,9,12,25,805.2352941176471,842.0
2010,9,13,9,912.5652173913044,145.0
2010,9,13,26,385.7,31.0
2010,9,14,14,1087.3211678832117,973.0
2010,9,14,20,2034.6666666666667,2315.0
2010,9,14,27,1614.4,1725.0
2010,9,18,13,892.1470588235294,873.0
2010,9,18,19,2277.1,2302.0
2010,9,19,21,1256.3125,1060.0
2010,9,19,34,1405.3333333333333,759.0
2010,9,20,27,1426.0,1456.5
2010,9,21,6,909.09375,909.0
2010,9,22,17,2006.0,2006.0
2010,9,22,23,2103.1428571428573,2130.0
2010,9,26,12,1707.8333333333333,1694.5
2010,9,27,8,1262.2857142857142,1131.0
2010,9,29,10,1086.5714285714287,736.0
2010,9,30,18,2008.2857142857142,1973.0
2010,9,31,37,1795.3333333333333,1771.0
2010,9,32,12,2860.5,2860.5
2010,9,33,7,1181.8695652173913,936.5
2010,9,33,11,1786.0,1786.0
2010,9,33,16,1501.6666666666667,1706.0
2010,9,35,12,2343.6,2299.0
2010,9,35,24,1871.7368421052631,1789.5
2010,9,35,32,2852.3571428571427,2862.0
2010,9,38,14,1744.2068965517242,1945.0
2010,9,38,20,1095.4528301886792,810.0
2010,9,38,34,3331.4444444444443,3354.0
2010,9,1,12,833.5882352941177,670.0
2010,9,2,17,998.7676056338029,890.0
2010,9,3,5,2352.8688524590166,2601.0
2010,9,5,10,1620.3478260869565,1758.5
2010,9,6,11,2250.637931034483,1949.0
2010,9,7,14,1290.0687679083094,846.0
2010,9,8,19,770.0,770.0
2010,9,8,20,1205.6954314720813,1000.0
2010,9,9,13,1002.9280303030303,684.5
2010,9,10,6,876.4354838709677,634.5
2010,9,11,6,1943.525,1937.5
2010,9,11,7,1873.5,1873.5
2010,9,12,10,727.9544117647059,730.0
2010,9,13,14,311.95618305744887,117.0
2010,9,14,10,1632.996153846154,1826.5
2010,9,18,3,870.8677494199536,729.0
2010,9,19,10,1774.7866666666666,2346.5
2010,9,19,11,902.8076923076923,679.0
2010,9,20,15,1076.869757174393,856.5
2010,9,21,3,780.027687296417,760.0
2010,9,21,4,748.8,789.0
2010,9,22,10,1853.6615384615384,1891.0
2010,9,23,6,1315.015873015873,978.0
2010,9,24,6,1044.252336448598,1007.5
2010,9,25,7,1136.6524390243903,1076.0
2010,9,26,8,1881.5555555555557,1717.0
2010,9,27,10,2643.974358974359,2811.0
2010,9,28,17,1749.376969038566,1713.0
2010,9,29,6,1881.4146341463415,2351.0
2010,9,30,7,1543.0972222222222,1112.0
2010,9,31,12,1702.0576923076924,1613.5
2010,9,32,9,1282.5,1282.5
2010,9,33,8,1182.9285714285713,977.5
2010,9,33,12,1812.0833333333333,1858.5
2010,9,33,14,1972.5714285714287,2142.0
2010,9,33,17,1951.081081081081,2044.0
2010,9,33,20,1639.888888888889,1776.0
2010,9,33,23,1160.162162162162,995.0
2010,9,34,3,1891.3508771929824,1855.5
2010,9,35,9,1435.7111111111112,1197.0
2010,9,36,8,1029.2903225806451,860.0
2010,9,38,13,1478.8837209302326,858.5
2010,9,39,2,1652.578947368421,1699.0
2010,9,13,30,1762.25,1711.0
2010,9,14,16,2259.0,2259.0
2010,9,14,22,2048.5,2048.5
2010,9,14,37,1917.5,1917.5
2010,9,31,33,1854.5,1765.0
2010,9,39,11,1836.0,1836.0
2010,9,39,16,2151.0,2151.0
2010,9,1,22,653.4285714285714,620.0
2010,9,1,27,697.52,626.0
2010,9,1,31,836.7735849056604,784.0
2010,9,2,21,2782.5,2782.5
2010,9,2,27,1243.745995423341,1024.0
2010,9,2,31,1277.490909090909,1120.0
2010,9,2,39,1966.8333333333333,1773.0
2010,9,2,45,1432.2857142857142,1508.0
2010,9,2,54,3295.5,3288.0
2010,9,3,9,1056.9473684210527,989.5
2010,9,3,13,2216.1666666666665,2352.0
2010,9,3,17,1312.4285714285713,1010.0
2010,9,3,22,2634.0,2652.0
2010,9,5,15,2311.230769230769,2442.0
2010,9,5,18,2057.657142857143,2138.0
2010,9,5,21,1140.15625,1048.0
2010,9,6,18,2204.0,2182.5
2010,9,6,19,1611.5,1611.5
2010,9,6,20,1823.0,1823.0
2010,9,7,24,1832.6,1898.0
2010,9,7,27,1688.5555555555557,1892.0
2010,9,7,33,1668.872340425532,1577.0
2010,9,7,42,735.2545454545455,722.0
2010,9,7,44,921.5,770.0
2010,9,8,12,964.6666666666666,888.0
2010,9,8,22,901.0769230769231,898.0
2010,9,8,27,1527.0,1527.0
2010,9,8,28,1406.2857142857142,974.0
2010,9,8,32,1384.4868421052631,1341.5
2010,9,8,33,1217.5,1217.5
2010,9,8,40,940.0,940.0
2010,9,9,26,1006.4821428571429,993.5
2010,9,9,30,1079.78,716.5
2010,9,9,36,546.0,546.0
2010,9,9,44,2777.0,2777.0
2010,9,10,13,956.0980392156863,731.0
2010,9,10,16,2233.1666666666665,1878.5
2010,9,11,14,1902.0,1876.0
2010,9,11,19,1523.6363636363637,1562.0
2010,9,11,20,2968.7,2967.5
2010,9,11,23,1195.2391304347825,1126.5
2010,9,11,25,1125.0,1154.0
2010,9,12,13,514.9358108108108,485.0
2010,9,12,17,1247.9375,995.0
2010,9,12,19,1157.0805084745762,1084.5
2010,9,12,26,837.2133891213389,933.0
