,state_code,dist_code,court_no,transfers_in,transfers_out,avg_judge_count
344,1.0,14.0,13.0,18.0,0.0,11.753633720930232
345,1.0,14.0,14.0,7.0,0.0,4.898007731192388
346,1.0,14.0,15.0,6.0,0.0,3.907898749618786
347,1.0,14.0,16.0,5.0,0.0,3.398434101783384
348,1.0,14.0,17.0,11.0,0.0,7.1644295302013425
349,1.0,14.0,18.0,4.0,0.0,3.3132670952659264
350,1.0,14.0,19.0,13.0,0.0,6.703191489361702
351,1.0,14.0,20.0,1.0,0.0,1.0
352,1.0,14.0,21.0,1.0,0.0,1.0
353,1.0,14.0,22.0,1.0,0.0,1.0
354,1.0,14.0,23.0,3.0,0.0,2.757327080890973
355,1.0,14.0,25.0,1.0,0.0,1.0
356,1.0,14.0,26.0,12.0,0.0,7.738238080202084
357,1.0,14.0,31.0,12.0,0.0,7.738238080202084
358,1.0,14.0,40.0,4.0,0.0,3.413793103448276
359,1.0,14.0,41.0,4.0,0.0,3.413793103448276
360,1.0,14.0,42.0,5.0,0.0,3.885447106954997
361,1.0,14.0,43.0,8.0,0.0,4.71962196219622
362,1.0,14.0,44.0,3.0,0.0,2.7506887052341598
363,1.0,14.0,46.0,2.0,0.0,1.9671104150352388
364,1.0,14.0,47.0,3.0,0.0,2.9122944400939703
365,1.0,14.0,48.0,4.0,0.0,3.413793103448276
366,1.0,14.0,49.0,5.0,0.0,3.8696668614845118
367,1.0,14.0,50.0,6.0,0.0,4.341320864991233
368,1.0,14.0,51.0,3.0,0.0,2.7506887052341598
369,1.0,14.0,52.0,3.0,0.0,2.7506887052341598
370,1.0,14.0,54.0,2.0,0.0,1.9671104150352388
371,1.0,14.0,55.0,3.0,0.0,2.9122944400939703
372,1.0,14.0,57.0,1.0,0.0,1.0
373,1.0,14.0,58.0,1.0,0.0,1.0
374,1.0,14.0,59.0,1.0,0.0,1.0
375,1.0,14.0,60.0,2.0,0.0,1.9933510638297873
376,1.0,15.0,1.0,63.0,0.0,18.011347332724664
377,1.0,15.0,2.0,21.0,0.0,10.478421970357454
378,1.0,15.0,3.0,7.0,0.0,5.100114744693058
379,1.0,15.0,4.0,20.0,0.0,14.402864487697393
380,1.0,15.0,5.0,3.0,0.0,2.4579889807162534
381,1.0,15.0,7.0,13.0,0.0,6.147340889276373
382,1.0,15.0,8.0,3.0,0.0,1.4097678493210688
383,1.0,15.0,9.0,1.0,0.0,1.0
384,1.0,15.0,10.0,10.0,0.0,6.997317236753856
385,1.0,15.0,16.0,11.0,0.0,4.344807580738736
386,1.0,15.0,23.0,5.0,0.0,2.872147772546179
387,1.0,15.0,24.0,3.0,0.0,1.5842806742453939
388,1.0,15.0,25.0,3.0,0.0,1.9298109298109298
389,1.0,15.0,29.0,5.0,0.0,3.1598970251716247
390,1.0,15.0,32.0,14.0,0.0,8.451998981410746
391,1.0,15.0,35.0,11.0,0.0,4.231568431568432
392,1.0,15.0,36.0,2.0,0.0,1.9883103081827842
393,1.0,15.0,39.0,3.0,0.0,2.630853994490358
394,1.0,15.0,41.0,2.0,0.0,1.4903748733535969
395,1.0,15.0,43.0,1.0,0.0,1.0
396,1.0,15.0,45.0,10.0,0.0,6.032556750298686
397,1.0,15.0,49.0,15.0,0.0,10.965790571547767
398,1.0,15.0,50.0,14.0,0.0,8.451998981410746
399,1.0,15.0,53.0,15.0,0.0,10.658140678799803
400,1.0,15.0,54.0,4.0,0.0,2.721338453099287
401,1.0,15.0,56.0,23.0,0.0,12.569081153588195
402,1.0,15.0,57.0,10.0,0.0,7.121654501216545
403,1.0,15.0,58.0,6.0,0.0,4.513214505224339
404,1.0,15.0,59.0,6.0,0.0,4.89272030651341
405,1.0,15.0,61.0,4.0,0.0,3.5504782146652496
406,1.0,15.0,62.0,10.0,0.0,6.032556750298686
407,1.0,15.0,63.0,9.0,0.0,5.591377694470478
408,1.0,15.0,68.0,8.0,0.0,6.050479766374635
409,1.0,15.0,72.0,5.0,0.0,4.242911877394636
410,1.0,15.0,74.0,7.0,0.0,5.768595041322314
411,1.0,17.0,1.0,82.0,0.0,34.217689406924926
412,1.0,17.0,2.0,77.0,0.0,32.88894736842105
413,1.0,17.0,3.0,89.0,0.0,38.162868162692845
414,1.0,17.0,4.0,77.0,0.0,33.93244894396928
415,1.0,17.0,5.0,59.0,0.0,25.497543859649124
416,1.0,17.0,6.0,73.0,0.0,26.331471460987956
417,1.0,17.0,7.0,38.0,0.0,18.389045207278183
418,1.0,17.0,8.0,30.0,0.0,16.296942412305384
419,1.0,17.0,9.0,22.0,0.0,8.690262172284644
420,1.0,17.0,10.0,3.0,0.0,2.191838897721251
421,1.0,17.0,11.0,14.0,0.0,7.603671255736337
422,1.0,17.0,12.0,7.0,0.0,3.3916067146282973
423,1.0,17.0,13.0,10.0,0.0,6.128756476683938
424,1.0,17.0,14.0,12.0,0.0,9.204322694144258
