state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name,total_cases,total_valid_cases,median_decision_days,mean_decision_days,work_load(total_cases/avg_judge_count)
17,37,1,9958,3.593648502,409.9714286,194,35,35,"Gujarat","Gir Somnath at Veraval","District Court Veraval",10113,9973,157,330.3602727,2814.131653
17,39,1,5348,1.627510651,734.8333333,711.5,12,12,"Gujarat","MORBI","District  Court - Morbi",6113,6102,10,226.7009177,3756.043007
17,40,1,7066,4.154027043,763.4666667,962,15,15,"Gujarat","Devbhumi Dwarka at Khambhaliya","DISTRICT COURT DEVBHUMI DWARKA @ KHAMBHALIA",7172,7146,41,397.2208228,1726.517407
17,41,1,11670,4.572884013,1021.666667,1094,15,15,"Gujarat","Chhota Udepur","DISTRICT COURT, CHHOTAUDEPUR",5117,5110,14,416.648728,1118.987489
17,42,3,1084,0.8089552239,453.75,338.5,4,4,"Gujarat","Mahisagar at Lunawada","DISTRICT COURT, MAHISAGAR",5606,5596,26,243.1958542,6929.926199
17,11,7,1569,1.18236624,575,546.5,4,4,"Gujarat","GANDHINAGAR","Kalol Additional District Court",4307,4295,42,340.321071,3642.695347
17,13,18,7209,2.193852708,110.9117647,39,106,102,"Gujarat","Ahmedabad","ADDL DISTRICT COURT, VIRAMGAM",2612,2603,11,301.0015367,1190.599528
17,14,19,3542,1.077906269,159.3714286,107,35,35,"Gujarat","SURAT","bardoli_addldj Court",4942,4882,5,115.0331831,4584.814229
17,16,19,2140,1.61387632,450.25,421,8,8,"Gujarat","RAJKOT","Addl. District Court - Gondal",5488,5471,29,305.9501005,3400.508411
17,16,21,584,0.9948892675,146,146.5,4,4,"Gujarat","RAJKOT","Jetpur Additional Dist. Court",3186,3058,128,415.8891432,3202.366438
17,16,22,1324,0.9984917044,685,822,3,3,"Gujarat","RAJKOT","Addl. District Court - Dhoraji",4018,3986,18,287.8660311,4024.069486
17,19,18,847,0.608040201,315.6,264,5,5,"Gujarat","Banaskanth at Palanpur","ADDITIONAL DISTRICT COURT DEESA",11149,11105,25,297.645475,18335.95868
17,20,11,704,0.7702407002,234.6666667,190,3,3,"Gujarat","Bharuch","Additional District Court, Ankleshwar",7917,7847,19,354.9821588,10278.60511
17,22,12,166,1,166,166,1,1,"Gujarat","Dahod","llimkheda_addldj",2858,2857,49,378.2642632,2858
17,24,18,704,1,704,704,1,1,"Gujarat","Junagadh","visavadar_addldj Court",1864,1862,235,551.2024705,1864
17,27,17,1694,0.8878406709,598.25,604.5,4,4,"Gujarat","Panchmahal at Godhra","Addl District Court,Halol",3524,3472,150,253.2782258,3969.180638
17,28,13,1324,0.999245283,1027.5,1027.5,2,2,"Gujarat","Patan","ADDL. DISTRICT COURT RADHANPUR",654,650,729.5,968.3153846,654.4939577
17,29,18,788,1,788,788,1,1,"Gujarat","Sabarkantha at Himmatnagar","ADDITIONAL DISTRICT AND SESSIONS COURT AT IDAR",4232,4192,10,226.8874046,4232
17,30,15,5014,2.065074135,497.0833333,423.5,13,12,"Gujarat","Surendranagar","Additional District Court, Dhrangadhra",7927,7847,117,365.3837135,3838.603111
17,31,20,2085,1.571213263,253.2857143,112.5,14,14,"Gujarat","Vadodara","Addl District Court - Savli",4303,4284,319,431.6890756,2738.647962
17,32,9,1322,0.9962321025,342,240.5,6,6,"Gujarat","Navsari","ahwa_addldj Court",431,430,39,253.6093023,432.6301059
17,37,3,2897,2.183119819,484.3333333,112,9,9,"Gujarat","Gir Somnath at Veraval","Additional District Court Una",11250,11239,294,426.686271,5153.175699
17,15,15,1565,0.9987236758,287,193,8,8,"Gujarat","Mahesana","visnagar_addldj Court",9435,9396,56,492.7085994,9447.057508
17,19,19,792,0.5685570711,497,475,3,3,"Gujarat","Banaskanth at Palanpur","Additional District Court  DEODAR",5842,5833,116,378.0709755,10275.13384
17,26,15,1326,0.9992464205,1028.5,1028.5,2,2,"Gujarat","kachchh at Bhuj","gandhidham_adj Court",10212,9451,152,518.9365147,10219.70136
17,26,16,486,1,1217,1217,1,1,"Gujarat","kachchh at Bhuj","anjar_adj Court",7785,7717,407,583.2213295,7785
18,1,1,9440,4.939822083,1152.166667,1083,12,12,"Chhattisgarh","Korba","District and Sessions Judge Korba",4385,4267,221,393.4806656,887.6837924
18,2,1,16244,4.943396226,1001,935,23,23,"Chhattisgarh","Bilaspur","District and Sessions Judge, Bilaspur",16914,16661,240,378.9766521,3421.534351
18,3,1,15335,4.666768107,1636.8,1297,15,15,"Chhattisgarh","Raipur","District and Sessions Court, Raipur",32186,31319,149,381.0902328,6896.850082
18,4,1,5611,1.70754717,1154.142857,1267,7,7,"Chhattisgarh","Surguja","District and Sessions Court Surguja CG",11209,10571,232,378.8494939,6564.38674
18,5,1,9302,2.830797322,883.625,775,16,16,"Chhattisgarh","Dhamtari","District and Sessions Court Dhamtari",5419,5310,107,243.5581921,1914.301656
18,6,1,11287,4.523847695,964.9411765,854,17,17,"Chhattisgarh","Raigarh","District and Sessions Court Raigarh",16867,15525,233,533.6067633,3728.463276
18,7,1,6656,2.72898729,736.9230769,708,13,13,"Chhattisgarh","Durg","District and Sessions Court,  Durg (C.G.)",20158,19897,97,367.9020455,7386.622897
18,9,1,2806,1.393939394,853.6,662,5,5,"Chhattisgarh","Kawardha","District and Session Judge Kabirdham",7321,6223,120,256.1100755,5252.021739
18,10,1,13932,5.714520098,1025.55,1030.5,20,20,"Chhattisgarh","Rajnandgaon","District And Sessions Judge Rajnandgaon",8067,7781,130,343.8263719,1411.667097
18,11,1,5464,3.199063232,932,1006,9,9,"Chhattisgarh","Koriya","District and Sessions judge",2198,2130,289,418.6610329,687.0761347
18,12,1,9265,2.819537432,824,802,18,18,"Chhattisgarh","Mahasamund","District and Sessions Court Mahasamund",6347,5755,287,393.5761946,2251.078467
18,13,1,7942,2.416920268,1085.583333,1070.5,12,12,"Chhattisgarh","Kanker","District And Sessions Judge",3481,3371,198,306.0679324,1440.262654
18,16,1,10936,6.517282479,839.2,877.5,20,20,"Chhattisgarh","Jashpur","District And Sessions Judge Jashpur",1877,1873,140,259.4511479,288.0034748
18,17,1,6345,4.278489548,666.6666667,548,15,15,"Chhattisgarh","Dantewada","District and Sessions Court,Dantewada",1905,1884,353.5,571.0031847,445.250591
18,18,1,16433,8.599162742,1200.238095,1151,21,21,"Chhattisgarh","Janjgir","DISTRICT AND SESSION COURT JANJGIR",5032,4957,123,254.5097841,585.173249
18,19,1,6214,3.98078155,761.5,760,12,12,"Chhattisgarh","Balod","District and Sessions Court, Balod",3115,3062,171,390.5065317,782.5096556
18,20,1,5829,3.042275574,947.4,800.5,10,10,"Chhattisgarh","Bemetara","District and Sessions Court, Bemetara",2570,2559,344,537.0031262,844.7623949
18,21,3,2813,1.472004186,855,812,5,5,"Chhattisgarh","Surajpur","District and Sessions Judge Surajpur",2558,2545,341,622.7772102,1737.766797
18,22,1,8099,4.276135164,1002.090909,1006,11,11,"Chhattisgarh","Kondagaon","District And Sessions Court Kondagaon",1652,1636,409.5,589.190709,386.3301642
18,23,1,10341,6.637355584,1079.266667,1015,15,15,"Chhattisgarh","Balodabazar","DISTRICT AND SESSION JUDGE EST.",7611,7100,115,275.2911268,1146.691616
18,23,5,1266,0.9976359338,998.5,998.5,2,2,"Chhattisgarh","Balodabazar","DISTRICT AND SESSION JUDGE EST.",1561,1537,216,450.308393,1564.699052
18,15,1,3256,1.304487179,786.3333333,884.5,6,6,"Chhattisgarh","Bastar","District Court Bastar at Jagdalpur",4976,4822,179,284.1860224,3814.525799
18,24,1,4388,2.816431322,812.4444444,602,9,9,"Chhattisgarh","Mungeli","Civil Court Mungeli",1948,1936,426.5,598.5857438,691.6554239
18,5,7,2080,0.7396870555,559.4,416,5,5,"Chhattisgarh","Dhamtari","Additional District And Sessions Camp Court Kurud",120,110,373.5,532.6272727,162.2307692
18,6,5,2873,0.9917155678,1201.333333,1197,3,3,"Chhattisgarh","Raigarh","Addl District and session court",1136,1117,160,332.1888988,1145.489732
18,6,10,2705,0.8231892879,1890,1890,2,2,"Chhattisgarh","Raigarh","Addl. District and Sessions Judge, Gharghoda",209,209,25,184.2105263,253.890573
18,10,6,1909,0.9989534275,1320,1320,2,2,"Chhattisgarh","Rajnandgaon","Additional District And Sessions Court,Khairagarh",2056,2049,300,530.4509517,2058.154007
18,13,3,2421,0.9926199262,788,779,4,4,"Chhattisgarh","Kanker","Additional District And Session Judge",1145,1053,117,194.28585,1153.513011
