,year,state_code,dist_code,num_instituted,num_disposed,num_disposed_from_instituted,clearance_rate,pending_count,new_clearance_rate
249,2018,3,29,21217,17641,9825,0.4630720648536551,11392,0.8314559079983033
250,2018,3,17,21308,20243,10701,0.5022057443213817,10607,0.9500187722920969
251,2018,3,13,26183,25902,14044,0.5363785662452737,12139,0.9892678455486384
252,2018,3,24,51727,48309,30629,0.5921279022560751,21098,0.9339223229647959
253,2018,3,14,28713,26769,16411,0.5715529551074426,12302,0.9322954759168322
254,2018,3,9,38065,36058,23463,0.6163930119532379,14602,0.9472743990542493
255,2018,3,8,15042,14061,8473,0.5632894561893366,6569,0.9347826086956522
256,2018,3,23,39814,37146,19429,0.4879941729040036,20385,0.9329883960415934
257,2018,3,11,21168,21215,9846,0.4651360544217687,11322,1.0022203325774754
258,2018,3,25,10291,11308,6115,0.5942085317267515,4176,1.0988242153337868
259,2018,3,19,21429,20509,10449,0.4876102477950441,10980,0.9570675253161604
260,2018,3,7,17635,14274,8209,0.46549475474907853,9426,0.8094130989509498
261,2018,3,22,34963,31553,15252,0.4362325887366645,19711,0.9024683236564368
262,2018,3,26,59293,53735,26217,0.4421601200816285,33076,0.9062621220042838
263,2018,3,6,22584,26155,11724,0.5191285866099894,10860,1.1581207934821112
264,2018,3,28,15382,13196,5897,0.383370172929398,9485,0.8578858405929007
265,2018,3,15,35349,34512,16877,0.47743924863503917,18472,0.9763218195705677
266,2018,3,18,47326,43822,25524,0.5393229937032498,21802,0.9259603600557833
267,2018,3,16,22148,19779,12599,0.568854975618566,9549,0.8930377460718801
268,2018,3,10,22567,22383,10166,0.4504807905348518,12401,0.991846501528781
269,2018,3,30,9292,9507,5050,0.5434782608695652,4242,1.0231381833835558
