state_code,state_name,district_name,dist_code,court_no,court_name
3,Karnataka,KODAGU,25,1,PRL. DISTRICT AND SESSIONS JUDGE
3,Karnataka,MYSURU,26,3,PRL. DISTRICT AND SESSIONS JUDGE
3,Karnataka,RAMANAGARAM,28,1,PRL.DISTRICT AND SESSIONS JUDGE
3,Karnataka,CHIKKABALLAPUR,29,1,Prl. District and Sessions Court
3,Karnataka,YADGIR.,30,1,District and Sessions Judge
3,Karnataka,CHAMRAJNAGAR,27,1,PRL. DISTRICT AND SESSIONS JUDGE COURT
3,Karnataka,BENGALURU,20,3,PRL. CITY CIVIL AND SESSIONS JUDGE
3,Karnataka,BENGALURU,20,7,PRL. CITY CIVIL AND SESSIONS JUDGE
4,Kerala,Kasaragod,1,1,PRINCIPAL DISTRICT AND SESSIONS COURT
4,Kerala,Ernakulam,2,1,DISTRICT AND SESSIONS COURT
4,Kerala,Kannur,3,1,District and Sessions Court
4,Kerala,Thrissur,4,1,DISTRICT COURT ESTABLISHMENT
4,Kerala,Kozhikode,5,1,District and Sessions Court
4,Kerala,Alappuzha,6,1,District and Sessions Court
4,Kerala,Idukki,7,1,District and sessions court Thodupuzha
4,Kerala,Palakkad,8,1,DISTRICT AND SESSIONS COURT PALAKKAD
4,Kerala,Thiruvananthapuram,9,1,District and Sessions Court
4,Kerala,Kottayam,10,1,District and Sessions Court
4,Kerala,Malappuram,11,1,District and Sessions Court
4,Kerala,Pathanamthitta,12,1,DISTRICT AND SESSIONS COURT PATHANAMTHITTA
4,Kerala,Lakshadweep,13,1,District and Sessions Court
4,Kerala,Wayanad,16,1,DISTRICT COURT
4,Kerala,Kollam,15,19,District and Sessions Court
33,Ladakh,Kargil,1,2,Principal District Judge
33,Ladakh,Leh,2,2,Principal District Judge
23,Madhya Pradesh,Jabalpur,1,1,DISTRICT AND SESSIONS COURT JABALPUR MP
23,Madhya Pradesh,Narsinghpur,2,1,DISTRICT AND SESSIONS COURT NARSINGHPUR
23,Madhya Pradesh,Hoshangabad,3,1,DISTRICT AND SESSION COURT HOSHANGABAD MP
23,Madhya Pradesh,Harda,4,1,DISTRICT AND SESSIONS COURT HARDA MP
23,Madhya Pradesh,Umaria,5,1,DISTRICT AND SESSIONS COURT UMARIA
23,Madhya Pradesh,Dindori,6,1,DISTRICT AND SESSIONS COURT DINDORI
23,Madhya Pradesh,Panna,7,1,DISTRICT AND SESSIONS COURT PANNA MP
23,Madhya Pradesh,Alirajpur,8,1,DISTRICT AND SESSIONS COURT ALIRAJPUR MP
23,Madhya Pradesh,Jhabua,9,1,DISTRICT AND SESSIONS COURT JHABUA MP
23,Madhya Pradesh,Khandwa,10,1,DISTRICT AND SESSIONS COURT KHANDWA MP
23,Madhya Pradesh,Shahdol,11,1,DISTRICT AND SESSIONS COURT SHAHDOL MP
23,Madhya Pradesh,Sheopur,12,1,DISTRICT AND SESSIONS COURT SHEOPUR MP
23,Madhya Pradesh,Datia,13,1,DISTRICT AND SESSIONS COURT DATIA MP
23,Madhya Pradesh,Rajgarh,14,1,DISTRICT AND SESSIONS COURT RAJGARH MP
23,Madhya Pradesh,Morena,15,1,DISTRICT AND SESSIONS COURT MORENA MP
23,Madhya Pradesh,Mandleshwar,16,1,DISTRICT AND SESSIONS COURT MANDLESHWAR MP
23,Madhya Pradesh,Neemuch,17,1,DISTRICT AND SESSIONS COURT NEEMUCH MP
23,Madhya Pradesh,Barwani,18,1,DISTRICT AND SESSIONS COURT BARWANI MP
23,Madhya Pradesh,Shajapur,19,1,DISTRICT AND SESSIONS COURT SHAJAPUR MP
23,Madhya Pradesh,Chhindwara,20,1,DISTRICT AND SESSIONS COURT CHHINDWARA MP
23,Madhya Pradesh,Sidhi,21,1,DISTRICT AND SESSIONS COURT SIDHI MP
23,Madhya Pradesh,Anuppur,22,1,DISTRICT AND SESSIONS COURT ANUPPUR MP
23,Madhya Pradesh,Shivpuri,23,1,DISTRICT AND SESSIONS COURT SHIVPURI MP
23,Madhya Pradesh,Raisen,24,1,DISTRICT AND SESSIONS COURT RAISEN MP
23,Madhya Pradesh,Sehore,25,1,DISTRICT AND SESSIONS COURT SEHORE MP
23,Madhya Pradesh,Balaghat,26,1,DISTRICT AND SESSIONS COURT BALAGHAT MP
23,Madhya Pradesh,Damoh,27,1,DISTRICT AND SESSIONS COURT DAMOH MP
23,Madhya Pradesh,Vidisha,28,1,DISTRICT AND SESSIONS COURT VIDISHA MP
23,Madhya Pradesh,Bhind,29,1,DISTRICT AND SESSIONS COURT BHIND MP
23,Madhya Pradesh,Guna,30,1,DISTRICT AND SESSIONS COURT GUNA MP
23,Madhya Pradesh,Singrauli,31,1,DISTRICT AND SESSIONS COURT SINGRAULI MP
23,Madhya Pradesh,Satna,32,1,DISTRICT AND SESSIONS COURT SATNA MP
23,Madhya Pradesh,Seoni,33,1,DISTRICT AND SESSIONS COURT SEONI MP
23,Madhya Pradesh,Katni,34,1,DISTRICT AND SESSIONS COURT KATNI MP
23,Madhya Pradesh,Mandsaur,35,1,DISTRICT AND SESSIONS COURT MANDSAUR MP
23,Madhya Pradesh,Tikamgarh,36,1,DISTRICT AND SESSIONS COURT TIKAMGARH MP
23,Madhya Pradesh,Betul,37,1,DISTRICT AND SESSIONS COURT BETUL MP
23,Madhya Pradesh,Dhar,38,1,DISTRICT AND SESSIONS COURT DHAR MP
23,Madhya Pradesh,Chhatarpur,39,1,DISTRICT AND SESSIONS COURT CHHATARPUR MP
23,Madhya Pradesh,Dewas,40,1,DISTRICT AND SESSIONS COURT DEWAS MP
23,Madhya Pradesh,Mandla,41,1,DISTRICT AND SESSIONS COURT MANDLA MP
23,Madhya Pradesh,Ratlam,42,1,DISTRICT AND SESSIONS COURT RATLAM MP
23,Madhya Pradesh,Sagar,43,1,DISTRICT AND SESSIONS COURT SAGAR MP
23,Madhya Pradesh,Gwalior,44,1,DISTRICT AND SESSIONS COURT GWALIOR MP
