,state_code,dist_code,court_no,state_name,district_name,court_name,median_decision_days
288,9,35,8,Rajasthan,Sikar,District  & Sessions Judge Sikar HQ,256.0
289,9,38,9,Rajasthan,Jaipur District,DJ ADJ-Jaipur District HQ,467.0
290,9,38,12,Rajasthan,Jaipur District,Print Statn_CBI Cases_JPR District HQ,518.0
291,9,38,14,Rajasthan,Jaipur District,DJ ADJ-Sambhar Lake,610.5
292,9,38,20,Rajasthan,Jaipur District,ADJ-Shahpura,612.5
293,9,38,34,Rajasthan,Jaipur District,ADJ-Kotputli,1316.5
294,9,39,1,Rajasthan,Jodhpur District,DJ ADJ-Jodhpur District HQ,230.5
295,9,39,14,Rajasthan,Jodhpur District,ADJ Phalodi HQ,377.0
296,10,1,2,Tamil Nadu,Dharmapuri,District Munsif cum Judicial,898.5
297,10,1,3,Tamil Nadu,Dharmapuri,District Munsif Court,1108.0
298,10,1,6,Tamil Nadu,Dharmapuri,Principal District and Sessions,458.0
299,10,1,9,Tamil Nadu,Dharmapuri,District Munsif Court,602.0
300,10,1,10,Tamil Nadu,Dharmapuri,District Munsif Court,885.5
301,10,1,17,Tamil Nadu,Dharmapuri,Special District Court to Deal with MCOP,842.0
302,10,1,20,Tamil Nadu,Dharmapuri,District Munsif Court,1395.0
303,10,2,5,Tamil Nadu,Pudukkottai,PRINCIPAL DISTRICT COURT,472.0
304,10,2,8,Tamil Nadu,Pudukkottai,DISTRICT MUNSIF COURT,605.0
305,10,2,10,Tamil Nadu,Pudukkottai,District Munsif Court,1291.0
306,10,2,14,Tamil Nadu,Pudukkottai,District Munsif Court,1042.0
307,10,3,6,Tamil Nadu,Tirunelveli,Principal District Munsif cum Judicial,828.0
308,10,3,16,Tamil Nadu,Tirunelveli,II Additional District Court (PCR),19.0
309,10,3,17,Tamil Nadu,Tirunelveli,Principal District Munsif Court,684.0
310,10,3,19,Tamil Nadu,Tirunelveli,Principal District Munsif Court,1238.0
311,10,3,21,Tamil Nadu,Tirunelveli,Additional District Munsif Court,1757.0
312,10,3,22,Tamil Nadu,Tirunelveli,Principal District Munsif Court,580.0
313,10,3,26,Tamil Nadu,Tirunelveli,Additional District - Sessions Court,387.0
314,2,4,3,Andhra Pradesh,East Godavari,III Addl. District And Sessions Court,365.5
315,10,3,31,Tamil Nadu,Tirunelveli,Principal District Munsif Court,767.5
316,10,3,32,Tamil Nadu,Tirunelveli,District Munsif Court,894.0
317,10,4,7,Tamil Nadu,Theni,Principal District Court Theni,166.0
318,10,4,9,Tamil Nadu,Theni,District Munsif Court Theni,441.0
319,10,4,13,Tamil Nadu,Theni,Additional District Court,414.5
320,10,4,15,Tamil Nadu,Theni,District Munsif Court,680.5
321,10,4,16,Tamil Nadu,Theni,District Munsif Court,574.5
322,10,4,20,Tamil Nadu,Theni,District Munsif Court,885.0
323,10,4,22,Tamil Nadu,Theni,District Munsif Court,801.0
324,10,5,3,Tamil Nadu,Namakkal,District Munsif,868.0
325,10,5,8,Tamil Nadu,Namakkal,District Munsif,571.0
