,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
279,6.0,9.0,3.0,1554.0,1331.0,210.0,338.79489105935386
280,6.0,10.0,2.0,11688.0,10999.0,15.0,196.6946086007819
281,6.0,11.0,2.0,5070.0,5037.0,45.0,243.93547746674608
282,6.0,12.0,1.0,3552.0,3506.0,141.5,313.2875071306332
283,6.0,13.0,1.0,8233.0,7905.0,21.0,154.47590132827324
284,6.0,15.0,1.0,4590.0,4575.0,20.0,157.63956284153005
285,6.0,16.0,1.0,4478.0,4338.0,58.0,285.29760258183495
286,6.0,17.0,1.0,2083.0,2039.0,39.0,278.1657675331045
287,6.0,18.0,1.0,3752.0,3709.0,310.0,436.12321380425993
288,6.0,20.0,1.0,7794.0,7641.0,15.0,108.83313702394975
289,6.0,21.0,1.0,5755.0,5696.0,42.0,254.20997191011236
290,6.0,22.0,1.0,1904.0,1846.0,244.5,387.6950162513543
291,6.0,23.0,2.0,645.0,609.0,441.0,632.9753694581281
292,6.0,24.0,3.0,904.0,904.0,66.0,241.9480088495575
293,6.0,26.0,1.0,367.0,362.0,477.0,855.1436464088398
294,6.0,27.0,1.0,133.0,133.0,340.0,442.69924812030075
295,6.0,28.0,1.0,49.0,45.0,101.0,159.06666666666666
296,6.0,25.0,1.0,690.0,689.0,554.0,567.8272859216255
297,6.0,1.0,4.0,20744.0,20442.0,23.0,197.63902749241757
298,6.0,19.0,1.0,4221.0,3994.0,13.0,181.74987481221834
299,6.0,3.0,8.0,278.0,260.0,88.0,469.25384615384615
300,6.0,6.0,7.0,1540.0,1520.0,463.0,647.3171052631579
301,6.0,16.0,8.0,723.0,716.0,115.5,434.7290502793296
302,6.0,20.0,8.0,1544.0,1538.0,190.0,344.1378413524057
303,6.0,23.0,6.0,148.0,148.0,132.5,236.6891891891892
304,6.0,25.0,6.0,103.0,103.0,336.0,559.1650485436893
305,6.0,2.0,9.0,77.0,77.0,473.0,534.5454545454545
306,6.0,9.0,10.0,116.0,116.0,655.0,670.7241379310345
307,6.0,24.0,4.0,0.0,0.0,-1.0,-1.0
308,6.0,1.0,8.0,49367.0,48152.0,533.0,712.6237954809769
309,6.0,2.0,5.0,12782.0,12591.0,297.0,458.94559606067827
310,6.0,3.0,4.0,38708.0,38660.0,239.0,393.98872219348164
311,6.0,4.0,5.0,16565.0,16177.0,208.0,368.89936329356493
312,6.0,5.0,4.0,18776.0,18476.0,298.0,446.3392509201126
313,6.0,6.0,4.0,42259.0,40749.0,96.0,285.794620726889
314,6.0,7.0,4.0,34676.0,34622.0,117.0,278.00701865865636
315,6.0,8.0,5.0,20110.0,20032.0,306.5,520.5704872204473
316,6.0,9.0,6.0,4057.0,3951.0,271.0,369.75094912680333
317,6.0,10.0,4.0,36230.0,35482.0,262.0,455.8666929710839
318,6.0,11.0,4.0,26217.0,25561.0,152.0,348.15339775439145
319,6.0,12.0,4.0,16893.0,15302.0,450.0,614.3143379950334
320,6.0,13.0,4.0,18858.0,17193.0,400.0,663.1184202873262
321,6.0,15.0,3.0,19025.0,18765.0,178.0,285.255102584599
322,6.0,16.0,3.0,22920.0,22833.0,316.0,581.4709849778828
323,6.0,17.0,2.0,8282.0,8089.0,169.0,299.6558289034491
324,6.0,18.0,3.0,22607.0,21987.0,157.0,432.7650429799427
