,state_code,dist_code,court_no,median,mean,case_count
2285,8.0,36.0,5.0,3211.0,3191.9375,379.0
2286,8.0,37.0,1.0,2993.5,2993.5,23.0
2287,8.0,37.0,2.0,3123.0,3135.56,100.0
2288,8.0,37.0,4.0,2640.0,2640.0,4.0
2289,8.0,38.0,1.0,3106.0,3119.6530612244896,710.0
2290,8.0,38.0,2.0,3132.0,3146.7428571428572,2686.0
2291,8.0,38.0,3.0,3082.0,3096.375,155.0
2292,8.0,38.0,4.0,2777.0,2667.25,45.0
2293,8.0,38.0,5.0,3112.0,3146.0263157894738,1758.0
2294,8.0,38.0,6.0,3135.5,3142.75,119.0
2295,8.0,38.0,7.0,3023.5,3023.5,44.0
2296,8.0,39.0,1.0,3081.0,3096.769230769231,428.0
2297,8.0,39.0,2.0,3086.0,3105.9473684210525,2250.0
2298,8.0,39.0,3.0,3091.0,3154.0588235294117,114.0
2299,8.0,39.0,4.0,3088.0,3053.3333333333335,43.0
2300,9.0,1.0,11.0,1032.5,1264.3242574257426,416.0
2301,9.0,1.0,12.0,914.0,1122.8559322033898,372.0
2302,9.0,1.0,13.0,1127.0,1278.4363636363637,62.0
2303,9.0,1.0,14.0,960.5,1216.7282608695652,101.0
2304,9.0,1.0,15.0,664.5,752.9341463414634,410.0
2305,9.0,1.0,16.0,1245.0,1554.2455357142858,250.0
2306,9.0,1.0,17.0,1319.0,1463.138888888889,41.0
2307,9.0,1.0,18.0,1441.0,1582.1538461538462,96.0
2308,9.0,1.0,19.0,1913.5,1941.5555555555557,25.0
2309,9.0,1.0,22.0,951.0,1105.5816326530612,99.0
2310,9.0,1.0,23.0,1029.0,975.75,8.0
2311,9.0,1.0,24.0,1081.0,1370.1958762886597,97.0
2312,9.0,1.0,25.0,2187.0,1795.6666666666667,22.0
2313,9.0,1.0,26.0,1085.0,1344.024,131.0
2314,9.0,1.0,27.0,1283.5,1473.0655737704917,377.0
2315,9.0,1.0,28.0,1195.0,1308.9019607843138,53.0
2316,9.0,1.0,29.0,1296.5,1358.8425925925926,113.0
2317,9.0,1.0,30.0,1358.0,1488.8181818181818,14.0
2318,9.0,1.0,31.0,1449.0,1662.7164179104477,145.0
2319,9.0,2.0,11.0,2006.0,1954.5057306590259,959.0
2320,9.0,2.0,12.0,2354.0,2332.3076923076924,48.0
2321,9.0,2.0,13.0,1809.0,1808.2300469483569,213.0
2322,9.0,2.0,14.0,3161.0,3066.1111111111113,17.0
2323,9.0,2.0,15.0,2037.0,2008.7801857585139,342.0
2324,9.0,2.0,16.0,2095.0,2007.7751937984497,147.0
2325,9.0,2.0,17.0,1801.5,1870.251811594203,2190.0
2326,9.0,2.0,18.0,1450.5,1640.8026315789473,302.0
2327,9.0,2.0,19.0,1770.5,1729.571129707113,579.0
2328,9.0,2.0,20.0,1344.5,1409.0774647887324,147.0
2329,9.0,2.0,21.0,1770.0,1914.772,320.0
2330,9.0,2.0,22.0,1762.0,2039.6666666666667,4.0
2331,9.0,2.0,23.0,1346.5,1431.325,46.0
2332,9.0,2.0,24.0,1269.5,1500.0526315789473,40.0
2333,9.0,2.0,25.0,1217.0,1463.292490118577,325.0
2334,9.0,2.0,26.0,1510.0,1642.5983827493262,391.0
2335,9.0,2.0,27.0,1399.0,1850.7371794871794,536.0
2336,9.0,2.0,28.0,2379.0,2161.885714285714,114.0
2337,9.0,2.0,29.0,1221.0,1422.5954198473282,155.0
2338,9.0,2.0,30.0,1734.0,1854.3897435897436,308.0
2339,9.0,2.0,31.0,1742.0,1790.1270718232045,282.0
2340,9.0,2.0,32.0,1993.0,2000.3333333333333,3.0
2341,9.0,2.0,33.0,1781.0,1717.9137931034484,69.0
2342,9.0,2.0,34.0,1619.5,1638.8375,86.0
2343,9.0,2.0,35.0,1657.0,1753.9757085020242,322.0
2344,9.0,2.0,36.0,955.5,1144.638888888889,73.0
2345,9.0,2.0,37.0,1620.0,1738.9943820224719,185.0
2346,9.0,2.0,38.0,1218.0,1549.7818930041153,261.0
2347,9.0,2.0,39.0,1739.5,1879.5378151260504,557.0
2348,9.0,2.0,40.0,1837.5,1796.5,17.0
2349,9.0,2.0,41.0,1701.5,1608.4435483870968,130.0
2350,9.0,2.0,42.0,796.5,1107.8653846153845,54.0
2351,9.0,2.0,43.0,1154.0,1452.1655172413793,167.0
2352,9.0,2.0,44.0,1197.0,1434.1760563380283,150.0
2353,9.0,2.0,45.0,1478.0,1719.974930362117,537.0
2354,9.0,2.0,46.0,1208.0,1462.357142857143,34.0
2355,9.0,2.0,47.0,1886.0,1837.9162561576354,252.0
2356,9.0,2.0,49.0,3314.0,3314.0,1.0
2357,9.0,2.0,50.0,3562.0,3562.0,2.0
2358,9.0,2.0,51.0,3449.0,3460.0666666666666,15.0
2359,9.0,2.0,53.0,3354.0,3393.222222222222,9.0
2360,9.0,2.0,54.0,3348.5,3335.75,4.0
2361,9.0,2.0,56.0,3500.0,3500.0,1.0
2362,9.0,2.0,57.0,3346.0,3350.5,4.0
2363,9.0,2.0,59.0,3298.0,3344.3333333333335,6.0
2364,9.0,2.0,60.0,3637.0,3637.0,1.0
2365,9.0,2.0,61.0,3395.0,3378.2,5.0
2366,9.0,3.0,4.0,1678.0,1748.1094147582696,410.0
2367,9.0,3.0,5.0,1511.0,1681.032640949555,528.0
2368,9.0,3.0,6.0,1573.5,1719.0333333333333,37.0
2369,9.0,3.0,7.0,1569.5,1607.0806451612902,69.0
2370,9.0,3.0,8.0,2149.0,2071.7105263157896,79.0
2371,9.0,3.0,9.0,1446.0,1599.3007246376812,364.0
2372,9.0,3.0,10.0,1017.0,1116.6666666666667,6.0
2373,9.0,3.0,11.0,957.0,957.0,1.0
2374,9.0,3.0,12.0,1516.0,1612.273148148148,298.0
2375,9.0,3.0,13.0,1470.0,1658.1692307692308,367.0
2376,9.0,3.0,14.0,1067.0,1327.8461538461538,30.0
2377,9.0,3.0,15.0,1306.0,1539.3673469387754,53.0
2378,9.0,3.0,16.0,1750.0,1785.55,40.0
2379,9.0,3.0,17.0,1752.0,1803.670918367347,493.0
2380,9.0,3.0,18.0,1096.0,1233.6,5.0
2381,9.0,3.0,19.0,1726.5,1674.4848484848485,68.0
