state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days,state_name,district_name,court_name
13.0,51.0,2.0,19818.0,18687.0,28.0,207.9095092845293,Uttar Pradesh,Kanpur Dehat,District & Session Judge
13.0,73.0,1.0,13204.0,12861.0,28.0,237.83173936707882,Uttar Pradesh,Hapur,District and Session Court Hapur
3.0,15.0,18.0,1767.0,1764.0,28.0,246.53571428571428,Karnataka,SHIVAMOGGA,"IV ADJ, Shivamogga sitting at Bhadravathi"
11.0,6.0,6.0,1007.0,986.0,28.5,263.61663286004057,Orissa,Koraput,"Addl District and Sessions Jugde, Koraput"
13.0,54.0,2.0,35335.0,34437.0,29.0,180.15140691697883,Uttar Pradesh,Moradabad,District & Session Court Moradabad
17.0,16.0,19.0,5488.0,5471.0,29.0,305.95010053006763,Gujarat,RAJKOT,Addl. District Court - Gondal
8.0,6.0,2.0,30679.0,30663.0,29.0,223.44222678798556,Bihar,Begusarai,D J Division
1.0,13.0,1.0,13316.0,11939.0,29.0,397.67040790685996,Maharashtra,Chandrapur,DISTRICT AND SESSIONS COURT CHANDRAPUR MAH.
8.0,38.0,1.0,4773.0,4773.0,29.0,327.04106432013407,Bihar,Muzaffarpur,DJ Division
16.0,11.0,2.0,22881.0,22781.0,29.0,251.63188622097363,West Bengal,Howrah,District and Sessions Judge
16.0,10.0,2.0,7841.0,7590.0,29.0,330.72358366271413,West Bengal,Purulia,District and Session Judge Purulia
13.0,24.0,2.0,40401.0,38746.0,29.0,201.11113405254738,Uttar Pradesh,Lucknow,District and Sessions Judge Lucknow
7.0,7.0,2.0,17325.0,16633.0,29.0,133.73660794805508,Jharkhand,Hazaribagh,Principal District & Sessions Judge Hazaribag
13.0,56.0,3.0,62460.0,54559.0,29.0,180.85307648600602,Uttar Pradesh,Rampur,Chief Judicial Magistrate
8.0,3.0,2.0,25685.0,25659.0,29.0,112.86570014419891,Bihar,Samastipur,"District and Sessions Judge, Samastipur"
16.0,7.0,2.0,34941.0,34461.0,30.0,267.28118742926785,West Bengal,Paschim Medinpur,"district and session judge,medinipur"
13.0,60.0,2.0,8547.0,8236.0,30.0,255.63938805245263,Uttar Pradesh,Sonbhadra,District & Session Judge
3.0,27.0,1.0,9659.0,9602.0,30.0,240.39637575505105,Karnataka,CHAMRAJNAGAR,"Prl. District and Sessions Judge, Chamrajnagar"
3.0,18.0,23.0,1969.0,1954.0,30.0,246.05220061412487,Karnataka,TUMAKURU,"IV Addl. District and Sessions Court, Madhugiri"
13.0,67.0,2.0,4447.0,4302.0,30.0,179.53835425383542,Uttar Pradesh,Balrampur,District and  Session Judge
11.0,15.0,3.0,8629.0,8407.0,30.0,223.3153324610444,Orissa,Puri,District and Sessions Judge Puri
13.0,22.0,2.0,8932.0,8336.0,30.0,202.9060700575816,Uttar Pradesh,Bhadohi SR Nagar,District and Session Judge
4.0,15.0,19.0,30083.0,29896.0,30.0,297.93400454910363,Kerala,Kollam,District and sessions court
8.0,21.0,2.0,13861.0,13858.0,30.0,201.65312454899697,Bihar,Saharsa,DJ Division
13.0,10.0,2.0,20401.0,19369.0,30.0,250.41865868139809,Uttar Pradesh,Lakhimpur,District and Sessions Judge
